Dataset: Moneyball , Bins: freedman, strategy: kmeans, Original Bins: 20, Found Bin Count: 19.0
Dataset: Moneyball , Bins: sturges, strategy: uniform, Original Bins: 10, Found Bin Count: 9.0
Dataset: Moneyball , Bins: freedman, strategy: uniform, Original Bins: 20, Found Bin Count: 19.0
Dataset: SAT11 , Bins: sturges, strategy: quantile, Original Bins: 10, Found Bin Count: 9.0
Dataset: SAT11 , Bins: freedman, strategy: quantile, Original Bins: 5, Found Bin Count: 4.0
Dataset: SAT11 , Bins: sturges, strategy: kmeans, Original Bins: 10, Found Bin Count: 9.0
Dataset: SAT11 , Bins: freedman, strategy: kmeans, Original Bins: 5, Found Bin Count: 4.0
Dataset: SAT11 , Bins: sturges, strategy: uniform, Original Bins: 10, Found Bin Count: 9.0
Dataset: SAT11 , Bins: freedman, strategy: uniform, Original Bins: 5, Found Bin Count: 4.0
Dataset: Sensory , Bins: sturges, strategy: quantile, Original Bins: 9, Found Bin Count: 5.0
Dataset: Sensory , Bins: freedman, strategy: quantile, Original Bins: 15, Found Bin Count: 6.0
Dataset: Sensory , Bins: sturges, strategy: kmeans, Original Bins: 9, Found Bin Count: 8.0
Dataset: Sensory , Bins: freedman, strategy: kmeans, Original Bins: 15, Found Bin Count: 12.0
Dataset: Sensory , Bins: sturges, strategy: uniform, Original Bins: 9, Found Bin Count: 8.0
Dataset: Sensory , Bins: freedman, strategy: uniform, Original Bins: 15, Found Bin Count: 14.0
Dataset: Socmob , Bins: sturges, strategy: quantile, Original Bins: 10, Found Bin Count: 7.0
Dataset: Socmob , Bins: freedman, strategy: quantile, Original Bins: 119, Found Bin Count: 84.0
Dataset: Socmob , Bins: sturges, strategy: kmeans, Original Bins: 10, Found Bin Count: 9.0
Dataset: Socmob , Bins: freedman, strategy: kmeans, Original Bins: 119, Found Bin Count: 118.0
Dataset: Socmob , Bins: sturges, strategy: uniform, Original Bins: 10, Found Bin Count: 9.0
Dataset: Socmob , Bins: freedman, strategy: uniform, Original Bins: 119, Found Bin Count: 118.0
