iter	RMSE
0	0.8405226439
1	0.7343048609
2	0.6389685958
3	0.5414951448
4	0.4861454338
5	0.4314786696
6	0.3876140753
7	0.360598111
8	0.3376534572
9	0.3197347546
10	0.3011609003
11	0.2842698377
12	0.2751849864
13	0.2632338236
14	0.247291915
15	0.2448330642
16	0.2399835133
17	0.2323095206
18	0.2254795805
19	0.2181810404
20	0.2113373209
21	0.2049009328
22	0.2002034276
23	0.1931932096
24	0.1902740885
25	0.1864757683
26	0.1811928087
27	0.1770649752
28	0.174475734
29	0.1693292295
30	0.1652868257
31	0.161470034
32	0.1591812978
33	0.1542256392
34	0.1482210464
35	0.1453262566
36	0.1421767088
37	0.1390314019
38	0.1345164291
39	0.1312560227
40	0.1283266151
41	0.1239090001
42	0.1211902876
43	0.1191754068
44	0.1168325323
45	0.1138851379
46	0.110683172
47	0.1086690425
48	0.1069668959
49	0.1049232499
50	0.1027859296
51	0.1017271837
52	0.09998195621
53	0.09835900795
54	0.09653533919
55	0.09490382414
56	0.09266629811
57	0.08988665002
58	0.08826456447
59	0.08681975746
60	0.08477964066
61	0.08284494244
62	0.08174745626
63	0.07907015859
64	0.07778198268
65	0.07607205141
66	0.07413568962
67	0.07167218864
68	0.071039276
69	0.06977608799
70	0.06881184676
71	0.0677729069
72	0.06710170988
73	0.06622094894
74	0.06490424741
75	0.06397032403
76	0.06262761307
77	0.06166221933
78	0.06062776667
79	0.05902977945
80	0.05810110184
81	0.05686951851
82	0.05604768405
83	0.05514181707
84	0.05430485748
85	0.05336190082
86	0.05219253681
87	0.05080464544
88	0.0500655666
89	0.04902407204
90	0.04811288116
91	0.04753274788
92	0.04687219795
93	0.04620543534
94	0.0454507789
95	0.04506108618
96	0.04434091576
97	0.04341728479
98	0.04250022689
99	0.04204256921
